Origin,Destination,Lines
Tekniska högskolan,T-Centralen,[14]
Tekniska högskolan,Fridhemsplan,[4]
Tekniska högskolan,Bergshamra,[14]
T-Centralen,Tekniska högskolan,[14]
T-Centralen,Solna Centrum,[11]
T-Centralen,Fridhemsplan,[11 10 17 18 19]
T-Centralen,Globen,[19]
T-Centralen,Bergshamra,[14]
Solna Centrum,T-Centralen,[11]
Solna Centrum,Fridhemsplan,[11]
Solna Centrum,Globen,[30]
Solna Centrum,Bergshamra,[177 176]
Fridhemsplan,T-Centralen,[18 10 19 11 17]
Fridhemsplan,Tekniska högskolan,[4]
Fridhemsplan,Solna Centrum,[11]
Fridhemsplan,Globen,[19]
Globen,T-Centralen,[19]
Globen,Solna Centrum,[30]
Globen,Fridhemsplan,[19]
Bergshamra,T-Centralen,[14]
Bergshamra,Tekniska högskolan,[14]
Bergshamra,Solna Centrum,[177 176]
